Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
2HBt2,2 hydroxybutyrate cotransport with proton,2hb_e + h_e  <=> 2hb_c + h_c ,,-999999,999999,0,S_Cysteine_Metabolism
2HMHMBQMTm,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,2hpmhmbq_m + amet_m  -> ahcys_m + h_m + q6_m ,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,0,999999,0,S_Quinone_Biosynthesis
2HP6MPMOm,2 Hexaprenyl 6 methoxyphenol monooxygenase  mitochondrial,2hp6mp_m + o2_m  -> 2hp6mbq_m + h2o_m ,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,0,999999,0,S_Quinone_Biosynthesis
2HPMBQMTm,2 hexaprenyl 6 methoxy 1 4 benzoquinone methyltransferase  mitochondrial,2hp6mbq_m + amet_m  -> 2hpmmbq_m + ahcys_m + h_m ,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,0,999999,0,S_Quinone_Biosynthesis
2HPMMBQMOm,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone monooxygenase  mitochondrial,2hpmmbq_m + 0.5 o2_m  -> 2hpmhmbq_m ,YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C,0,999999,0,S_Quinone_Biosynthesis
2MBACt,2 methylbutyl transport  extracellular ,2mbac_c  -> 2mbac_e ,,0,999999,0,S_Transport__Extracellular
EX_epistest_SC_e,Episterol ester  yeast specific exchange,epistest_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_epist_e,Episterol exchange,epist_e  -> ,,0,999999,0,Extracellular exchange
2MBALDt,2 Methylbutanal transport  extracellular ,2mbald_c  <=> 2mbald_e ,,-999999,999999,0,S_Transport__Extracellular
2MBALDtm,2 Methylbutanal transport  mitochondrial ,2mbald_c  <=> 2mbald_m ,,-999999,999999,0,S_Transport__Mitochondrial
2MBTOHt,2 methyl 1 butanol transport  extracellular ,2mbtoh_c  <=> 2mbtoh_e ,,-999999,999999,0,S_Transport__Extracellular
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,3otdcoa_x + coa_x  -> accoa_x + ddcacoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
2MBTOHtm,2 methyl 1 butanol transport  mitochondrial ,2mbtoh_c  <=> 2mbtoh_m ,,-999999,999999,0,S_Transport__Mitochondrial
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,3ohdcoa_x + coa_x  -> accoa_x + tdcoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
2MPPALt,2 methylpropanal transport  extracellular ,2mppal_c  <=> 2mppal_e ,,-999999,999999,0,S_Transport__Extracellular
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,3ohodcoa_x + coa_x  -> accoa_x + pmtcoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,3ohxccoa_x + coa_x  -> accoa_x + ttccoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
ACALDCD,Acetaldehyde condensation,2 acald_c  -> actn__R_c ,YLR044C or YGR087C or YLR134W,0,999999,0,S_Alternate_Carbon_Metabolism
ACALDt,Acetaldehyde reversible transport,acald_e  <=> acald_c ,,-999999,999999,0,S_Transport__Extracellular
ACALDtm,Acetaldehyde mitochondrial diffusion,acald_m  <=> acald_c ,,-999999,999999,0,S_Transport__Mitochondrial
ACCOAC,Acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c  <=> adp_c + h_c + malcoa_c + pi_c ,YNR016C,-999999,999999,0,S_Fatty_Acid__Biosynthesis
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,accoa_m + atp_m + hco3_m  <=> adp_m + h_m + malcoa_m + pi_m ,YMR207C,-999999,999999,0,S_Fatty_Acid__Biosynthesis
AGAT_SC,1 Acyl glycerol 3 phosphate acyltransferase  yeast specific,0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.27 pmtcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.05 stcoa_c + 0.1 tdcoa_c  -> coa_c + 0.01 pa_SC_c ,YDL052C or UNKNOWN,0,999999,0,S_Phospholipid_Biosynthesis
AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,acg5p_m + h_m + nadph_m  -> acg5sa_m + nadp_m + pi_m ,YER069W,0,999999,0,S_Arginine_and_Proline_Metabolism
AGTi,Alanine glyoxylate aminotransferase  irreversible ,ala__L_c + glx_c  -> gly_c + pyr_c ,YFL030W,0,999999,0,S_Glycine_and_Serine_Metabolism
AHCYStm,S adenosyl L homocysteine reversible transport  mitochondrial,ahcys_c  <=> ahcys_m ,,-999999,999999,0,S_Transport__Mitochondrial
ACCOAtn,Acetyl CoA transport  nuclear,accoa_c  <=> accoa_n ,,-999999,999999,0,S_Transport__Nuclear
2MPPALtm,2 methylpropanal transport  mitochondrial ,2mppal_c  <=> 2mppal_m ,,-999999,999999,0,S_Transport__Mitochondrial
ACESt,Acetic ester transport  extracellular ,aces_c  -> aces_e ,,0,999999,0,S_Transport__Extracellular
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa_c + gam6p_c  <=> acgam6p_c + coa_c + h_c ,YFL017C,-999999,999999,0,S_Glutamate_metabolism
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c  -> adn_c + hcys__L_c ,YER043C,0,999999,0,S_Methionine_Metabolism
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,air_c + 2 h_c  -> 4ahmmp_c + gcald_c + pi_c ,,0,999999,0,S_Thiamine_Metabolism
AHSERL,O acetylhomoserine  thiol  lyase,achms_c + ch4s_c  -> ac_c + h_c + met__L_c ,YLR303W,0,999999,0,S_Methionine_Metabolism
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c  -> ac_c + h_c + hcys__L_c ,YLR303W,0,999999,0,S_Methionine_Metabolism
ACGAMPM,Phosphoacetylglucosamine mutase,acgam6p_c  <=> acgam1p_c ,YEL058W,-999999,999999,0,S_Glutamate_metabolism
ACGKm,Acetylglutamate kinase  mitochondrial,acglu_m + atp_m  -> adp_m + acg5p_m ,YER069W,0,999999,0,S_Arginine_and_Proline_Metabolism
2OBUTtm,2obut transporter  mitochondrial ,2obut_c  <=> 2obut_m ,,-999999,999999,0,S_Transport__Mitochondrial
ACGSm,N acteylglutamate synthase  mitochondrial,accoa_m + glu__L_m  -> acglu_m + coa_m + h_m ,YMR062C or YJL071W,0,999999,0,S_Arginine_and_Proline_Metabolism
2OXOADPtim,2 oxoadipate transport out of mitochondria via diffusion,2oxoadp_m  -> 2oxoadp_c ,,0,999999,0,S_Transport__Mitochondrial
ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,2obut_m + h_m + pyr_m  -> 2ahbut_m + co2_m ,YCL009C and YMR108W,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
ACHLE1,Isoamyl acetate hydrolyzing esterase,iamac_c + h2o_c  -> ac_c + iamoh_c + h_c ,YOR126C,0,999999,0,S_Complex_Alcohol_Metabolism
2PHETOHt,2 phenylethanol reversible transport,2phetoh_e  <=> 2phetoh_c ,,-999999,999999,0,S_Transport__Extracellular
ACHLE2,Isobutyl acetate hydrolyzing esterase,ibutac_c + h2o_c  -> ac_c + ibutoh_c + h_c ,YOR126C,0,999999,0,S_Complex_Alcohol_Metabolism
ACHLE3,Ethyl acetate hydrolyzing esterase,aces_c + h2o_c  -> ac_c + etoh_c + h_c ,YOR126C,0,999999,0,S_Complex_Alcohol_Metabolism
ACLSm,Acetolactate synthase  mitochondrial,h_m + 2 pyr_m  -> alac__S_m + co2_m ,YCL009C and YMR108W,0,999999,0,S_Valine__Leucine__and_Isoleucine_Metabolism
2PHETOHtm,2 phenylethanol reversible transport  mitochondrial,2phetoh_m  <=> 2phetoh_c ,,-999999,999999,0,S_Transport__Mitochondrial
ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible ,accoa_m + h2o_m  -> ac_m + coa_m + h_m ,YBL015W,0,999999,0,S_Pyruvate_Metabolism
34HPLFM,3  4 hydroxyphenyl  lactate formation,34hpp_m + h_m + nadh_m  -> 34hpl_m + nad_m ,,0,999999,0,S_Quinone_Biosynthesis
ACOAO4p,Acyl CoA oxidase  decanoyl CoA   peroxisomal,dcacoa_x + o2_x  -> dc2coa_x + h2o2_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c  <=> fprica_c + thf_c ,YLR028C or YMR120C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
AIRCr,Phosphoribosylaminoimidazole carboxylase,air_c + co2_c  <=> 5aizc_c + h_c ,YOR128C,-999999,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
AKGDam,Oxoglutarate dehydrogenase  lipoamide ,akg_m + h_m + lpam_m  <=> co2_m + sdhlam_m ,YIL125W and YDR148C and YFL018C,-999999,999999,0,S_Citric_Acid_Cycle
AKGDbm,Oxoglutarate dehydrogenase  dihydrolipoamide S succinyltransferase ,coa_m + sdhlam_m  -> dhlam_m + succoa_m ,YIL125W and YDR148C and YFL018C,0,999999,0,S_Citric_Acid_Cycle
ACOAO5p,Acyl CoA oxidase  dodecanoyl CoA   peroxisomal,ddcacoa_x + o2_x  -> dd2coa_x + h2o2_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
ACOAO6p,Acyl CpA oxidase  tetradecanoyl CoA   peroxisomal,o2_x + tdcoa_x  -> h2o2_x + td2coa_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,o2_x + pmtcoa_x  -> h2o2_x + hdd2coa_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
ACOAO8p,Acyl CoA oxidase  octadecanoyl CoA   peroxisomal,o2_x + stcoa_x  -> h2o2_x + od2coa_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
ACOAO9p,Acyl CoA oxidase  hexacanoyl CoA   peroxisomal,hexccoa_x + o2_x  -> hxc2coa_x + h2o2_x ,YGL205W,0,999999,0,S_Fatty_Acid_Degradation
AKGMAL,Alpha ketoglutaratemalate transporter,akg_c + mal__L_e  <=> akg_e + mal__L_c ,,-999999,999999,0,S_Transport__Extracellular
AKGt2n,2 oxoglutarate nuclear transport via proton symport,akg_c + h_c  <=> akg_n + h_n ,,-999999,999999,0,S_Transport__Nuclear
AKGt2r,2 oxoglutarate reversible transport via symport,akg_e + h_e  <=> akg_c + h_c ,,-999999,999999,0,S_Transport__Extracellular
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c  -> co2_c + hgentis_c ,,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
AKGtp,AKG transporter  peroxisome,akg_c  <=> akg_x ,,-999999,999999,0,S_Transport__Peroxisomal
AKP1,Alkaline phosphatase  Dihydroneopterin ,ahdt_c + 3 h2o_c  -> dhnpt_c + 2 h_c + 3 pi_c ,YDR481C,0,999999,0,S_Folate_Metabolism
ALASm,5 aminolevulinate synthase,gly_m + h_m + succoa_m  -> 5aop_m + co2_m + coa_m ,YDR232W,0,999999,0,S_Porphyrin_and_Chlorophyll_Metabolism
ALATA_L,L-alanine transaminase,akg_c + ala__L_c  <=> glu__L_c + pyr_c ,YDR111C,-999999,999999,0,S_Alanine_and_Aspartate_Metabolism
ALATA_Lm,L alanine transaminase  mitochondrial,akg_m + ala__L_m  <=> glu__L_m + pyr_m ,YLR089C,-999999,999999,0,S_Alanine_and_Aspartate_Metabolism
ACOATA,Acetyl-CoA ACP transacylase,ACP_c + accoa_c  <=> acACP_c + coa_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
ACOATAm,Acetyl CoA ACP transacylase,ACP_m + accoa_m  <=> acACP_m + coa_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,-999999,999999,0,S_Fatty_Acid__Biosynthesis
ACON3MT,Trans aconitate 3 methyltransferase,acon_T_c + amet_c  -> ahcys_c + acon5m_c ,YER175C,0,999999,0,S_Other
ALATRS,Alanyl-tRNA synthetase,ala__L_c + atp_c + trnaala_c  -> alatrna_c + amp_c + ppi_c ,YOR335C,0,999999,0,S_tRNA_charging
34HPPt2m,3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,34hpp_c + h_c  <=> 34hpp_m + h_m ,,-999999,999999,0,S_Transport__Mitochondrial
ALAt2r,L alanine reversible transport via proton symport,ala__L_e + h_e  <=> ala__L_c + h_c ,YKR039W or YPL265W or YCL025C or YOL020W or YOR348C,-999999,999999,0,S_Transport__Extracellular
ALAtmi,Alanine transport from mitochondia to cytoplasm,ala__L_m  -> ala__L_c ,,0,999999,0,S_Transport__Mitochondrial
ACONT,Aconitate hydratase,cit_c  <=> icit_c ,YLR304C,-999999,999999,0,S_Citric_Acid_Cycle
ACONT3m,Aconitase  mitochondrial,2mcit_m  <=> micit_m ,YPR002W,-999999,999999,0,S_Anaplerotic_reactions
ACONTm,Aconitate hydratase,cit_m  <=> icit_m ,YLR304C or YJL200C,-999999,999999,0,S_Citric_Acid_Cycle
ACOTAim,Acteylornithine transaminase  irreversible  mitochondrial,acg5sa_m + glu__L_m  -> acorn_m + akg_m ,YOL140W,0,999999,0,S_Arginine_and_Proline_Metabolism
ALCD19y,Alcohol dehydrogenase  glycerol  NADP ,h_c + glyald_c + nadph_c  -> glyc_c + nadp_c ,YHR104W or YDR368W,0,999999,0,S_Glycerolipid_Metabolism
ALCD22xi,Aldehyde dehydrogenase  2 methylbutanol  NAD ,2mbald_c + h_c + nadh_c  -> 2mbtoh_c + nad_c ,YBR145W or YMR303C or YDL168W or YGL256W or YOL086C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD22xim,Aldehyde dehydrogenase  2 methylbutanol  NAD   mitochondrial,2mbald_m + h_m + nadh_m  -> 2mbtoh_m + nad_m ,YMR083W,0,999999,0,S_Complex_Alcohol_Metabolism
34HPPt2p,3  4 hydroxyphenyl pyruvate peroxisomal transport via proton symport,34hpp_c + h_c  <=> 34hpp_x + h_x ,,-999999,999999,0,S_Transport__Peroxisomal
ALCD22yi,Aldehyde dehydrogenase  2 methylbutanol  NADP ,2mbald_c + h_c + nadph_c  -> 2mbtoh_c + nadp_c ,YDR368W or YMR318C or YBR036C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD23xi,Aldehyde dehydrogenase  isobutyl alcohol  NAD ,2mppal_c + h_c + nadh_c  -> ibutoh_c + nad_c ,YGL256W or YBR145W or YDL168W or YOL086C or YMR303C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD23xim,Aldehyde dehydrogenase  isobutyl alcohol  NAD   mitochondrial,2mppal_m + h_m + nadh_m  -> ibutoh_m + nad_m ,YMR083W,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD23yi,Aldehyde dehydrogenase  isobutyl alcohol  NADP ,2mppal_c + h_c + nadph_c  -> ibutoh_c + nadp_c ,YBR036C or YMR318C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD24xi,Aldehyde dehydrogenase  isoamyl alcohol  NAD ,3mbald_c + h_c + nadh_c  -> iamoh_c + nad_c ,YDL168W or YGL256W or YMR303C or YOL086C or YBR145W,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD24xim,Aldehyde dehydrogenase  isoamyl alcohol  NAD   mitochondrial,3mbald_m + h_m + nadh_m  -> iamoh_m + nad_m ,YMR083W,0,999999,0,S_Complex_Alcohol_Metabolism
ACP1e,Acid phosphatase  extracellular  secreted ,fmn_e + h2o_e  -> pi_e + ribflv_e ,YBR093C or YAR071W,0,999999,0,S_Riboflavin_Metabolism
ACPSm,Acyl carrier protein synthase  mitochondrial,coa_m + h2o_m  -> 2 h_m + pan4p_m + pap_m ,YPL148C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,acrn_c  -> acrn_m ,,0,999999,0,S_Transport__Mitochondrial
ACRNtp,Acetylcarnitine transport out of peroxisome,acrn_x  -> acrn_c ,,0,999999,0,S_Transport__Peroxisomal
ACS,Acetyl-CoA synthetase,ac_c + atp_c + coa_c  -> accoa_c + amp_c + ppi_c ,YLR153C,0,999999,0,S_Pyruvate_Metabolism
ACSm,Acetyl CoA synthetase,ac_m + atp_m + coa_m  -> accoa_m + amp_m + ppi_m ,YAL054C,0,999999,0,S_Pyruvate_Metabolism
ACSp,Acetyl CoA synthetase,ac_x + atp_x + coa_x  -> accoa_x + amp_x + ppi_x ,YAL054C,0,999999,0,S_Pyruvate_Metabolism
ACt2r,Acetate reversible transport via proton symport,ac_e + h_e  <=> ac_c + h_c ,YCR032W,-999999,999999,0,S_Transport__Extracellular
ALCD24yi,Aldehyde dehydrogenase  isoamyl alcohol  NADP ,3mbald_c + h_c + nadph_c  -> iamoh_c + nadp_c ,YMR318C or YBR036C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD25xi,Aldehyde dehydrogenase  2 phenylethanol  NAD ,h_c + nadh_c + pacald_c  -> 2phetoh_c + nad_c ,YGL256W or YMR303C or YDL168W or YOL086C or YBR145W,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD25xim,Aldehyde dehydrogenase  2 phenylethanol  NAD   mitochondrial,h_m + nadh_m + pacald_m  -> 2phetoh_m + nad_m ,YMR083W,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD25yi,Aldehyde dehydrogenase  2 phenylethanol  NADP ,h_c + nadph_c + pacald_c  -> 2phetoh_c + nadp_c ,YMR318C or YBR036C,0,999999,0,S_Complex_Alcohol_Metabolism
ACtm,Acetate transport  mitochondrial,ac_c  <=> ac_m ,,-999999,999999,0,S_Transport__Mitochondrial
3C3HMPt,2 Isopropylmalate transport  diffusion,3c3hmp_c  <=> 3c3hmp_e ,,-999999,999999,0,S_Transport__Extracellular
ACtp,Acetate transport  peroxisomal,ac_c  <=> ac_x ,,-999999,999999,0,S_Transport__Peroxisomal
ACtr,Acetate transporter,ac_e  <=> ac_c ,YCR010C,-999999,999999,0,S_Transport__Extracellular
ADA,Adenosine deaminase,adn_c + h2o_c + h_c  -> ins_c + nh4_c ,YNL141W,0,999999,0,S_Nucleotide_Salvage_Pathway
ADCL,4-aminobenzoate synthase,4adcho_c  -> 4abz_c + h_c + pyr_c ,YMR289W,0,999999,0,S_Folate_Metabolism
ALCD26xi,Aldehyde dehydrogenase  tryptophol  NAD ,id3acald_c + h_c + nadh_c  -> ind3eth_c + nad_c ,YGL256W or YDL168W or YMR303C or YBR145W or YOL086C,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD26xim,Aldehyde dehydrogenase  tryptophol  NAD   mitochondrial,id3acald_m + h_m + nadh_m  -> ind3eth_m + nad_m ,YMR083W,0,999999,0,S_Complex_Alcohol_Metabolism
ALCD2x_copy1,Alcohol dehydrogenase (ethanol),etoh_c + nad_c  -> acald_c + h_c + nadh_c ,YMR303C,0,999999,0,S_Pyruvate_Metabolism
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol ,acald_c + h_c + nadh_c  -> etoh_c + nad_c ,YOL086C or YGL256W or YBR145W,0,999999,0,S_Pyruvate_Metabolism
ALCD2irm,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol   mitochondrial,acald_m + h_m + nadh_m  -> etoh_m + nad_m ,YMR083W,0,999999,0,S_Pyruvate_Metabolism
ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c  -> 4adcho_c + glu__L_c ,YNR033W,0,999999,0,S_Folate_Metabolism
3C3HMPtm,2 Isopropylmalate transport  diffusion  mitochondrial,3c3hmp_c  <=> 3c3hmp_m ,,-999999,999999,0,S_Transport__Mitochondrial
ADD,Adenine deaminase,ade_c + h2o_c + h_c  -> hxan_c + nh4_c ,YNL141W,0,999999,0,S_Nucleotide_Salvage_Pathway
ADEt2,Adenine transport in via proton symport,ade_e + h_e  -> ade_c + h_c ,YER056C or YER060W or YER060W_A or YGL186C,0,999999,0,S_Transport__Extracellular
ADEtm,Adenine reversible transport  mitochondria,ade_c  <=> ade_m ,,-999999,999999,0,S_Transport__Mitochondrial
ADHAPR_SC,Acyldihydroxyacetonephosphate reductase  yeast specific,0.01 1agly3p_SC_c + h_c + nadph_c  -> 0.01 1ag3p_SC_c + nadp_c ,YIL124W,0,999999,0,S_Phospholipid_Biosynthesis
ADK1,Adenylate kinase,amp_c + atp_c  <=> 2 adp_c ,YDR226W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ADK1m,Adenylate kinase  mitochondrial,amp_m + atp_m  <=> 2 adp_m ,YER170W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ADK3,Adentylate kinase (GTP),amp_c + gtp_c  <=> adp_c + gdp_c ,YDR226W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ALCD2x_copy2,Alcohol dehydrogenase (ethanol),etoh_c + nad_c  <=> acald_c + h_c + nadh_c ,YDL168W,-999999,999999,0,S_Pyruvate_Metabolism
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",h2o_c + nad_c + pacald_c -> 2 h_c + nadh_c + pac_c ,YMR170C or YMR169C,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,id3acald_m + h2o_m + nad_m -> ind3ac_m + 2 h_m + nadh_m ,YOR374W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ALDD20y,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP ,h2o_c + id3acald_c + nadp_c -> 2 h_c + ind3ac_c + nadph_c ,YPL061W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ALDD20ym,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP   mitochondrial,id3acald_m + h2o_m + nadp_m  -> ind3ac_m + 2 h_m + nadph_m ,YOR374W or YER073W,0,999999,0,S_Tyrosine__Tryptophan__and_Phenylalanine_Metabolism
ALDD22x,Aldehyde dehydrogenase  3 aminopropanal  NAD ,aproa_c + h2o_c + nad_c  -> ala_B_c + 2 h_c + nadh_c ,YMR170C or YMR169C,0,999999,0,S_Pantothenate_and_CoA_Biosynthesis
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,acald_m + h2o_m + nad_m  -> ac_m + 2 h_m + nadh_m ,YOR374W,0,999999,0,S_Pyruvate_Metabolism
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",acald_c + h2o_c + nadp_c  -> ac_c + 2 h_c + nadph_c ,YPL061W,0,999999,0,S_Pyruvate_Metabolism
ALDD2ym,Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial,acald_m + h2o_m + nadp_m  -> ac_m + 2 h_m + nadph_m ,YER073W or YOR374W,0,999999,0,S_Pyruvate_Metabolism
ADK3m,Adentylate kinase  GTP ,amp_m + gtp_m  <=> adp_m + gdp_m ,YER170W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ADK4,Adentylate kinase (ITP),amp_c + itp_c  <=> adp_c + idp_c ,YDR226W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ADK4m,Adentylate kinase  ITP   mitochondrial,amp_m + itp_m  <=> adp_m + idp_m ,YER170W,-999999,999999,0,S_Nucleotide_Salvage_Pathway
ADMDC,Adenosylmethionine decarboxylase,amet_c + h_c  -> ametam_c + co2_c ,YOL052C,0,999999,0,S_Methionine_Metabolism
ADNCYC,Adenylate cyclase,atp_c  -> camp_c + ppi_c ,YJL005W,0,999999,0,S_Purine_and_Pyrimidine_Biosynthesis
ADNK1,Adenosine kinase,adn_c + atp_c  -> adp_c + amp_c + h_c ,YJR105W,0,999999,0,S_Nucleotide_Salvage_Pathway
ADNUC,Adenosine hydrolase,adn_c + h2o_c  -> ade_c + rib__D_c ,YDR400W,0,999999,0,S_Nucleotide_Salvage_Pathway
ALLTAHr,Allantoate amidinohydrolase  reversible,alltt_c + h2o_c  <=> urdglyc_c + urea_c ,YIR029W,-999999,999999,0,S_Histidine_Metabolism
ALLTN,Allantoinase,alltn_c + h2o_c  <=> alltt_c + h_c ,YIR027C,-999999,999999,0,S_Histidine_Metabolism
ALLTNti,Allantoin irreversible uniport,alltn_e  -> alltn_c ,YIR028W,0,999999,0,S_Transport__Extracellular
ALLTTti,Allantoate irreversible uniport,alltt_e  -> alltt_c ,YJR152W,0,999999,0,S_Transport__Extracellular
ADNt2,Adenosine transport in via proton symport,adn_e + h_e  -> adn_c + h_c ,YAL022C,0,999999,0,S_Transport__Extracellular
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial,3c4mop_c  <=> 3c4mop_m ,,-999999,999999,0,S_Transport__Mitochondrial
