Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
KARA1im	5.3029	5.3029	-57.3887	0.0000
KARA2im	1.8215	1.8215	0.0000	0.0000
ICDHyr	65.1437	72.1348	0.0000	11.1193
ICDHym	10.2003	10.2003	0.0000	0.0000
IG3PS	0.6267	0.6267	0.0000	0.0000
IGPDH	0.6267	0.6267	0.0000	0.0000
MAN1PT	7.6367	7.6367	0.0000	0.0000
MCITDm	2.7053	2.7053	0.0000	0.0000
MTHFC	2.4981	2.4981	-223.3606	-0.0000
FUMm	72.7048	999999.0000	-261.5069	11.1193
NDPK2	16.2717	16.4531	0.0000	0.0000
NH4tm	-0.2537	-0.2537	-728.5000	-13.7880
O2t	234.9794	234.9794	0.0000	89.8441
O2tm	234.4525	234.4525	0.0000	89.8441
OCBT	1.5190	1.5190	0.0000	0.0000
OMCDC	2.8017	2.8017	0.0000	0.0000
OMPDC	1.0455	1.0455	0.0000	0.0000
ORNTA	1.5568	1.5568	0.0000	0.0000
ORNTACim	3.0759	3.0759	0.0000	0.0000
ORNt3m	3.0759	3.0759	0.0000	0.0000
OXAGm	2.7053	2.7053	0.0000	0.0000
PPNDH	1.2657	1.2657	0.0000	0.0000
P5CR	1.5568	1.5568	0.0000	0.0000
PIt2m	266.5800	999999.0000	-355.9295	152.2237
PAPSR	0.5416	0.5416	0.0000	0.0000
PIt2r	1.8688	1.8688	0.0000	-0.0000
PC	18.5592	18.5592	-1137.1944	0.0000
PDHm	88.2164	88.2164	0.0000	11.1193
PRAGSr	0.9357	0.9357	0.0000	0.0000
PRAIS	0.9357	0.9357	0.0000	0.0000
PRAMPC	0.6267	0.6267	0.0000	0.0000
SLFAT	0.5416	0.5416	-1638.5833	0.0000
PRASCSi	0.9357	0.9357	0.0000	0.0000
SO4ti	0.7307	0.7307	0.0000	0.0000
PRATPP	0.6267	0.6267	0.0000	0.0000
PRFGS	0.9357	0.9357	0.0000	0.0000
PRMICI	0.6267	0.6267	0.0000	0.0000
RPI	-3.4199	-3.4199	-261.5069	-37.2128
SACCD1	2.7053	2.7053	0.0000	0.0000
SACCD2	2.7053	2.7053	0.0000	0.0000
SULR	0.5416	0.5416	0.0000	0.0000
PRPPS	2.8763	2.8763	0.0000	0.0000
TKT2	-3.9548	-3.9548	-76.0766	-17.9392
THRD_L	1.7591	1.7591	0.0000	0.0000
THRS	3.5683	3.5683	0.0000	0.0000
TPI	72.5708	72.5708	-462.1111	62.7872
TRDR	0.6551	0.6551	0.0000	0.0000
PYK	127.5590	127.5590	0.0000	11.1193
PYRDC	4.2877	4.2877	0.0000	0.0000
